kind,project,local_path,id_or_uid,view_url,api_url,metadata_json,uploaded_at
video,added,other/goat_showing_compassion.mp4,aeff48964f9d420f8057db836dd11995,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/aeff48964f9d420f8057db836dd11995/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/aeff48964f9d420f8057db836dd11995,"{""project"": ""added"", ""source"": ""other/goat_showing_compassion.mp4"", ""name"": ""goat_showing_compassion.mp4""}",2025-08-09T20:00:50.888084+00:00
video,added,human_tools/DogUnderstandingLeash.mp4,90e97e9797924d3a8deb3edb18835e53,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/90e97e9797924d3a8deb3edb18835e53/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/90e97e9797924d3a8deb3edb18835e53,"{""project"": ""added"", ""source"": ""human_tools/DogUnderstandingLeash.mp4"", ""name"": ""DogUnderstandingLeash.mp4""}",2025-08-09T20:01:21.747701+00:00
video,added,other/chicken_counting.mp4,2b2320f9c96f468da899ab02374ef333,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/2b2320f9c96f468da899ab02374ef333/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/2b2320f9c96f468da899ab02374ef333,"{""project"": ""added"", ""source"": ""other/chicken_counting.mp4"", ""name"": ""chicken_counting.mp4""}",2025-08-09T20:01:30.068507+00:00
video,added,other/magpie_stopping_fire.mp4,d6a2127bac9a4cd78fec45894a769402,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/d6a2127bac9a4cd78fec45894a769402/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/d6a2127bac9a4cd78fec45894a769402,"{""project"": ""added"", ""source"": ""other/magpie_stopping_fire.mp4"", ""name"": ""magpie_stopping_fire.mp4""}",2025-08-09T20:01:30.383216+00:00
video,added,other/mountain_lion_failing_bucket_test.mp4,816379418b86446f8cafc956cbc41c32,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/816379418b86446f8cafc956cbc41c32/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/816379418b86446f8cafc956cbc41c32,"{""project"": ""added"", ""source"": ""other/mountain_lion_failing_bucket_test.mp4"", ""name"": ""mountain_lion_failing_bucket_test.mp4""}",2025-08-09T20:02:01.571178+00:00
video,added,other/pit_bull_save_a_drowning_child.mp4,dd6b2a822c4544398592fbd5c4d996f7,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/dd6b2a822c4544398592fbd5c4d996f7/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/dd6b2a822c4544398592fbd5c4d996f7,"{""project"": ""added"", ""source"": ""other/pit_bull_save_a_drowning_child.mp4"", ""name"": ""pit_bull_save_a_drowning_child.mp4""}",2025-08-09T20:02:02.165928+00:00
video,added,other/dog_turtle_game.mp4,41260110bb6348ef9487fe562b129789,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/41260110bb6348ef9487fe562b129789/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/41260110bb6348ef9487fe562b129789,"{""project"": ""added"", ""source"": ""other/dog_turtle_game.mp4"", ""name"": ""dog_turtle_game.mp4""}",2025-08-09T20:02:04.770456+00:00
video,added,mirrors/dog_mirror.mp4,44be2b94bb584a79a860d22f698c9cf7,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/44be2b94bb584a79a860d22f698c9cf7/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/44be2b94bb584a79a860d22f698c9cf7,"{""project"": ""added"", ""source"": ""mirrors/dog_mirror.mp4"", ""name"": ""dog_mirror.mp4""}",2025-08-09T20:02:46.141396+00:00
video,added,mirrors/jaguar_with_mirror.mp4,ec45972f2af84968aa9d149a6220c74e,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/ec45972f2af84968aa9d149a6220c74e/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/ec45972f2af84968aa9d149a6220c74e,"{""project"": ""added"", ""source"": ""mirrors/jaguar_with_mirror.mp4"", ""name"": ""jaguar_with_mirror.mp4""}",2025-08-09T20:02:46.475538+00:00
video,added,mirrors/cat_snapchat_filter.mp4,25e1c52d72384972a76d0896d7d41998,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/25e1c52d72384972a76d0896d7d41998/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/25e1c52d72384972a76d0896d7d41998,"{""project"": ""added"", ""source"": ""mirrors/cat_snapchat_filter.mp4"", ""name"": ""cat_snapchat_filter.mp4""}",2025-08-09T20:02:58.656851+00:00
