kind,project,local_path,id_or_uid,view_url,api_url,metadata_json,uploaded_at
video,new_animals_with_tools,SPAt18w_5vqejRpS.mp4,a2bb4045b9034003bec798d830c7fab6,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/a2bb4045b9034003bec798d830c7fab6/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/a2bb4045b9034003bec798d830c7fab6,"{""project"": ""new_animals_with_tools"", ""source"": ""SPAt18w_5vqejRpS.mp4"", ""name"": ""SPAt18w_5vqejRpS.mp4""}",2025-08-09T07:08:40.248039+00:00
video,new_animals_with_tools,pm1EZX0d-9D7NW5j.mp4,056ce97e12f94fe6b0c25209e9a3fea7,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/056ce97e12f94fe6b0c25209e9a3fea7/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/056ce97e12f94fe6b0c25209e9a3fea7,"{""project"": ""new_animals_with_tools"", ""source"": ""pm1EZX0d-9D7NW5j.mp4"", ""name"": ""pm1EZX0d-9D7NW5j.mp4""}",2025-08-09T07:08:40.433553+00:00
video,new_animals_with_tools,L_wCmGZOXocCZTCr.mp4,4b5ad7063bd34d5facd797a899f58938,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/4b5ad7063bd34d5facd797a899f58938/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/4b5ad7063bd34d5facd797a899f58938,"{""project"": ""new_animals_with_tools"", ""source"": ""L_wCmGZOXocCZTCr.mp4"", ""name"": ""L_wCmGZOXocCZTCr.mp4""}",2025-08-09T07:08:41.080675+00:00
image,new_animals_with_tools,bait/crocodile_with_twigs_as_bait.jpg,new_animals_with_tools-a48524782e4cfd0701214c984cfc2ca318ed2f29,https://imagedelivery.net/Ptcv2Ac6tnaI-eaT-OcsTQ/new_animals_with_tools-a48524782e4cfd0701214c984cfc2ca318ed2f29/public,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/images/v1/new_animals_with_tools-a48524782e4cfd0701214c984cfc2ca318ed2f29,"{""project"": ""new_animals_with_tools"", ""source"": ""bait/crocodile_with_twigs_as_bait.jpg""}",2025-08-09T07:15:43.969953+00:00
video,new_animals_with_tools,bait/green-heron_using_bait.mp4,3daa220d4bbb4ca4b1e0cce1b772f421,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/3daa220d4bbb4ca4b1e0cce1b772f421/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/3daa220d4bbb4ca4b1e0cce1b772f421,"{""project"": ""new_animals_with_tools"", ""source"": ""bait/green-heron_using_bait.mp4"", ""name"": ""green-heron_using_bait.mp4""}",2025-08-09T07:15:44.661107+00:00
video,new_animals_with_tools,bait/BlackCrownedNightHeronUsingBait.mp4,30c0557523b047f0a418a73f873357c4,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/30c0557523b047f0a418a73f873357c4/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/30c0557523b047f0a418a73f873357c4,"{""project"": ""new_animals_with_tools"", ""source"": ""bait/BlackCrownedNightHeronUsingBait.mp4"", ""name"": ""BlackCrownedNightHeronUsingBait.mp4""}",2025-08-09T07:15:45.211046+00:00
video,new_animals_with_tools,funerals/byta86S.mp4,0f0f833b1013447a889c707ae5946157,https://customer-1ixj2hastb04w2ye.cloudflarestream.com/0f0f833b1013447a889c707ae5946157/manifest/video.m3u8,https://api.cloudflare.com/client/v4/accounts/85cd9827d6b73c6498b0f1fcd409a017/stream/0f0f833b1013447a889c707ae5946157,"{""project"": ""new_animals_with_tools"", ""source"": ""funerals/byta86S.mp4"", ""name"": ""byta86S.mp4""}",2025-08-09T07:18:00.704384+00:00
